participant_id	input_dna_concentration	input_dna_volumne	mass_dna	batch	reads_raw_total	coverage_raw_reads	reads_collapsed_total	reads_collapsed_duplex	reads_collapsed_non_duplex	coverage_collapsed_reads	fragments_total	coverage_fragments
ccga_6022	16.72	4.49	75.0728	H7C3FCCXY	1801544840	90711.91	105213606	34984314	69988133	3817.243	52617403	3815.793
ccga_6026	9.26	8.1	75.006	H7CCLCCXY	2001403836	103029.4	121225498	30505888	90425344	4482.771	60626143	4480.939
ccga_6032	9.34	8.03	75.00019999999999	H5W7KCCXY	1776647024	89027.48	129729546	38288216	91094376	4785.115	64873401	4783.409
ccga_6035	13.13	5.71	74.9723	H777VCCXY	1968498604	95966.55	107385068	34891119	72272726	3846.023	53704284	3844.65
ccga_6036	12.56	5.97	74.9832	HCLG3CCXY	1927758388	96633.99	124681298	39012713	85406175	4525.461	62353005	4523.815
ccga_6046	15.31	4.9	75.019	H5WVMCCXY	2054848438	104126.3	88584692	29246423	59210741	3110.526	44300768	3109.047
ccga_6051	14.51	5.17	75.0167	HCMW5CCXY	2192838150	113730.9	102523980	33261717	69105354	3633.902	51275745	3632.293
ccga_6057	12.08	6.21	75.0168	H7C5NCCXY	2100880982	108058.6	122418148	35616861	86565431	4442.638	61221202	4440.905
ccga_6066	14.02	5.35	75.00699999999999	HFYCHCCXY	2461757870	125391.2	122533338	46844919	75480039	4195.407	61280919	4193.825
ccga_6067	13.75	5.45	74.9375	HF5GHCCXY	1896348694	99274.34	99994722	29207680	70616598	3671.758	50007034	3670.437
ccga_6088	13.29	5.64	74.95559999999999	H777GCCXY	1927623376	93299.76	105059820	33142849	71663027	3760.225	52540324	3758.818
ccga_61	15.62	4.8	74.976	HKYYJALXX	2021413520	105022.2	95781264	28965752	66639652	3455.28	47900837	3453.86
ccga_610	9.7	7.73	74.981	H523NCCXY	2635696264	135993.4	103963368	29644429	74190070	3746.339	51989884	3744.951
ccga_6109	18.21	4.12	75.02520000000001	HFYN5CCXY	2027393000	95204.83	121095352	47093699	73538284	4258.522	60556350	4256.787
ccga_612	12.88	5.82	74.9616	H23TLCCXY	2002318902	97438.38	126145602	44071035	81578497	4397.709	63082677	4395.52
ccga_6120	14.75	5.08	74.93	HCMNWCCXY	2512699292	130226.4	91823576	26024635	65654511	3372.973	45921172	3371.627
ccga_6121	20.04	3.74	74.9496	HCMYYCCXY	2804167560	145214.2	114446940	43500681	70693677	4006.062	57233198	4004.589
ccga_6126	13.15	5.7	74.955	H5VWNCCXY	2015392026	97228.72	117473590	41499573	75687228	4186.7	58749458	4185.026
ccga_613	14.73	5.09	74.9757	HL2GJALXX	2096715472	102525.4	115370760	38457844	76685851	4147.305	57697949	4145.606
ccga_6137	14.85	5.05	74.99249999999999	H777MCCXY	1670179324	85367.89	93140378	27375851	65608480	3413.726	46581073	3412.49
ccga_6139	11.73	6.39	74.9547	H5VWNCCXY	1996936332	100312.7	107745292	38855897	68690225	3837.391	53886095	3835.905
ccga_614	12.57	5.97	75.0429	H7C55CCXY	2622711628	136829.4	95457090	25974340	69327597	3537.551	47740194	3536.203
ccga_6143	16.06	4.67	75.00019999999999	HCLFYCCXY	2015929022	101812.9	91170118	26594979	64426486	3282.087	45594163	3280.643
ccga_6144	17.9	4.19	75.001	H5WVFCCXY	2268834550	117151	96395956	28889518	67311344	3602.432	48206460	3601.256
ccga_6146	11.19	6.7	74.973	HCLG3CCXY	1981679120	98899.77	113496502	35331334	77959318	4058.145	56761053	4056.476
ccga_6148	17.41	4.31	75.0371	HCNGLCCXY	1875008222	95817.09	98941992	34173593	64592561	3577.861	49480293	3576.56
ccga_615	11.98	6.26	74.9948	H7C7FCCXY	1881750198	94104.7	130545048	45810697	84031325	4591.693	65281062	4589.309
ccga_6151	13.72	5.47	75.0484	HCN25CCXY	1852366732	92419.9	107614462	31880024	75592821	3804.94	53820704	3803.368
ccga_616	12.91	5.81	75.0071	H2HJ7CCXY	2079703660	103285.1	115844900	36204592	79419512	4126.706	57934352	4124.93
ccga_6162	12.54	5.98	74.9892	H72VYCCXY	1933692024	100717.4	115975654	35538269	80137029	4164.772	57998170	4163.16
ccga_617	13.05	5.75	75.03750000000001	HFY2JCCXY	1988563818	91907.59	133922520	52502668	80835505	4690.269	66970052	4688.365
ccga_6176	13.29	5.64	74.95559999999999	HF5GHCCXY	2042194254	104602.7	104118320	31241801	72709461	3822.503	52067634	3821.203
ccga_6184	16.14	4.65	75.051	H77GVCCXY	2021896956	100702.4	110825592	36964661	73701905	3999.85	55426883	3998.504
ccga_6189	14.43	5.2	75.036	H5VWNCCXY	2060799314	102894.6	107176356	37597354	69367859	3819.862	53601708	3818.273
ccga_619	17.38	4.32	75.0816	H5YVFCCXY	2606414660	131478.6	107044816	41026386	65821505	3793.54	53539341	3791.963
